chr	pos	gene	strand	type	stop_pos
chr19	45468211	FOSB	forward	five_prime_utr	45468456
chr9	20622495	MLLT3	reverse	five_prime_utr	20622343
chr10	79069222	ZMIZ1	forward	five_prime_utr	79118937
chr3	9424492	SETD5	forward	five_prime_utr	9424524
chr16	58684065	SLC38A7	reverse	five_prime_utr	58683892
chr9	126914938	RALGPS1	forward	five_prime_utr	126914979
chr3	190514101	IL1RAP	forward	five_prime_utr	190518629
chr16	70398932	ST3GAL2	reverse	five_prime_utr	70398885
chr17	19281954	EPN2	forward	five_prime_utr	19282073
chr12	52051521	NR4A1	forward	five_prime_utr	52052476
chr14	77196219	TMEM63C	forward	five_prime_utr	77196296
chr19	34677845	ZNF302	forward	five_prime_utr	34678754
chr1	172444028	PIGC	reverse	five_prime_utr	172442764
chr2	98726498	MGAT4A	reverse	five_prime_utr	98726466
chr1	5992354	NPHP4	reverse	five_prime_utr	5992244
chr1	150974714	CERS2	reverse	five_prime_utr	150974421
chr19	49581444	PRRG2	forward	five_prime_utr	49581485
chr16	3458138	NAA60	forward	five_prime_utr	3458185
chr14	81436338	STON2	reverse	five_prime_utr	81436204
chr9	6758128	KDM4C	forward	five_prime_utr	6758418
chr18	13730675	RNMT	forward	five_prime_utr	13730752
chr6	30213395	TRIM26	reverse	five_prime_utr	30204689
chr4	73069715	COX18	reverse	five_prime_utr	73069683
chrX	124346509	SH2D1A	forward	five_prime_utr	124346544
chr1	45685587	GPBP1L1	reverse	five_prime_utr	45661196
chr14	61695533	HIF1A	forward	five_prime_utr	61695661
chr4	48906750	OCIAD2	reverse	five_prime_utr	48904632
chr12	2053316	CACNA1C	forward	five_prime_utr	2053402
chr3	40525063	ZNF621	forward	five_prime_utr	40525785
chr7	7567061	MIOS	forward	five_prime_utr	7567648
chr2	208255081	IDH1	reverse	five_prime_utr	208254998
chr6	99425268	PNISR	reverse	five_prime_utr	99416369
chr1	173868368	ZBTB37	forward	five_prime_utr	173870205
chr6	85642918	SYNCRIP	reverse	five_prime_utr	85642793
chr1	155273245	CLK2	reverse	five_prime_utr	155273087
chr3	40525069	ZNF621	forward	five_prime_utr	40525281
chr13	46387242	RUBCNL	reverse	five_prime_utr	46386985
chr6	31795591	VARS	reverse	five_prime_utr	31795559
